experiment_id,model_id,sample_name_abbreviation,time_point,rxn_id,dG_r_units,dG_r_lb_base,dG_r_ub_base,dG_r_lb,dG_r_ub,displacement_lb_base,displacement_lb,displacement_ub_base,displacement_ub,feasible_base,feasible,significant_stat,significant_bio
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,NTP1,kJ/mol,-67.483763645512,-59.0044142342002,-66.9097229663604,-58.23436635516,4.30678419591452e-12,5.38065331262685e-12,1.15418178484283e-10,1.55585213618984e-10,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,DGK1_reverse,kJ/mol,-10.8930228010527,6.05846555722195,-11.7722742787252,5.27280787736372,0.0146338886238317,0.0104057454157712,10.4806337561935,7.72795143703682,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,UGLYCH,kJ/mol,-96.9653719035878,-76.9778525708288,-98.0146752300819,-78.5215118004394,4.66401081929272e-17,3.10479038408483e-17,1.08424167604579e-13,5.95851059175878e-14,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,O2tex_reverse,kJ/mol,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,EX_mg2_LPAREN_e_RPAREN_,kJ/mol,478.741191023927,543.332307283276,478.741191023927,543.332307283276,1.34782168906393e+46,1.34782168906393e+46,2.68811714181613e+58,2.68811714181613e+58,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,ALDD4,kJ/mol,-78.8922532373745,-69.0413559830459,-78.5614157228112,-69.5998847962921,5.16055215406305e-14,5.86701178030553e-14,2.35406292708479e-12,1.89560885981099e-12,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,GLNabcpp,kJ/mol,-45.627210980997,16.3785473011022,-46.0633299985022,15.3827165870261,7.83700653001408e-10,6.61755482710706e-10,15124.7970044693,10279.4133675185,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,SADT2,kJ/mol,-4.10928331694049,-3.45851569563642,-2.99998371525508,-2.48526386612224,0.203189102563609,0.312415415492738,0.261520011432747,0.381437455972005,True,True,True,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,ABUTD,kJ/mol,342.274778645105,344.815669395301,342.605616159668,344.257140582055,4.27937485842328e+39,4.86520472173606e+39,7.40190956469397e+39,5.96038669523985e+39,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,THD2pp,kJ/mol,-6195.32545269013,-6194.42377668434,-6196.41686807023,-6195.94106686957,2.28156938284973,1.49421729623515,3.23665973574222,1.79700724928234,True,True,True,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,FADRx,kJ/mol,-7.53554568592828,-1.46040570226619,-8.29431227216534,-1.15792732896661,0.0215216225804035,0.0242002279018846,1.41904447517718,1.05730901882385,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,CBMKr,kJ/mol,15.5720783776185,24.0514277889307,16.14611905677,24.8214756679709,419.471868245847,524.064497954609,11241.4917386086,15153.6778392811,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,DAPabcpp,kJ/mol,-34.1546038258256,10.8027927198832,-33.3845559467853,11.3768333990347,6.70511217209358e-08,9.03857887322739e-08,1740.21075151927,2174.12118157983,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,ADNCYC,kJ/mol,-38.58475240678,-29.6602946791778,-38.7964719620631,-29.1665888957524,3.17266110453315e-07,2.92257154009538e-07,1.01044216032331e-05,1.22366652573868e-05,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,GLYK,kJ/mol,-32.2159449102699,-23.5297312960696,-31.3978831729287,-22.7518309648517,1.42207214704411e-07,1.953000675261e-07,0.00287210570248327,0.00388344412253279,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,MALTTRabcpp,kJ/mol,19.3170307439954,64.2744272897043,20.0870786230356,64.8484679688559,67.9644970703337,91.6170306450869,1763916031347.4,2203737221444.32,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,H2tpp,kJ/mol,5.93455963038001,5.93455963038001,5.93455963038001,5.93455963038001,9.98892802429816,9.98892802429816,9.98892802429816,9.98892802429816,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,FE2abcpp,kJ/mol,-6157.30811406878,-6124.22554995796,-6156.53806618974,-6123.65150927881,6.91967612493707e-10,9.32781388695301e-10,0.179589758986656,0.224369317720183,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,SUCCtex_reverse,kJ/mol,6123.25346149727,6123.25346149727,6914.597525,6914.597525,100.728974591911,1.0,100.728974591914,1.0,True,True,True,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,NTD3,kJ/mol,18.2250576810701,35.0669319483825,17.193135658104,33.8641580250601,1173.61786619509,786.550961779184,805550.79516536,505263.14610171,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,ALDD3y,kJ/mol,353.859424789977,355.498639534387,352.672972119315,353.848695341041,1.26056541604097e+40,7.95680950295748e+39,1.536970269744e+40,8.10543276780332e+39,True,True,True,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,URIK2,kJ/mol,-546.040667848082,-532.215363890195,-545.20757674262,-530.878100902287,1.22526247715236e-44,2.05804824780098e-44,2.5826101100873e-44,3.56755689271928e-44,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,ALAabcpp,kJ/mol,-54.8983694855775,-9.940972939869,-54.1283216065373,-9.36693226071745,2.15114606550731e-11,2.89977302122444e-11,0.558297522130147,0.697505441468503,True,True,False,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,ACtex_reverse,kJ/mol,3064.58505170413,3064.58505170413,3457.2987625,3457.2987625,31.6102380542095,1.0,31.6102380542095,1.0,True,True,True,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,G5SD,kJ/mol,-40.2673738829521,-39.7561618783015,-38.6174296896056,-38.5697092076391,1.65207897897479e-07,3.13270906895873e-07,2.01433122124546e-07,3.19122416215922e-07,True,True,True,False
ALEWt01,iJO1366_ALEWt_irreversible,OxicEvo03Glc,0,GCALDD,kJ/mol,-648.618715074191,-642.270033023047,-650.097379809477,-645.989680391589,2.10996759859709e-48,1.18914277301091e-48,6.52681105969175e-46,1.54250036512747e-46,True,True,False,False
